run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup
ex0-run1,3.62770488659541,57977,4194304,4171318.7279407,223178.73041632,32.4,1977427421,nan,1977427421,1977427421,64150710717,nan,64150710717,64150710717,1977427421,nan,1977427421,1977427421,64150710717,nan,64150710717,64150710717,32.4,0,0,0,0,0,0,0
ex0-run2,3.44412539402644,256301,8388602,8320455.3459144,592834.028749182,32.9,1950712144,nan,1950712144,1950712144,64150710717,nan,64150710717,64150710717,1950712144,nan,1950712144,1950712144,64150710717,nan,64150710717,64150710717,32.9,0,0,0,0,0,0,0
ex0-run3,3.23102240165075,312987,6291433,5360186.39012366,1318050.01634956,32.6,1967499489,nan,1967499489,1967499489,64150710717,nan,64150710717,64150710717,1967499489,nan,1967499489,1967499489,64150710717,nan,64150710717,64150710717,32.6,0,0,0,0,0,0,0
ex0-run4,3.44631359974543,1764555,12582884,9456177.87691628,2926122.83562131,33,1941899337,nan,1941899337,1941899337,64150710717,nan,64150710717,64150710717,1941899337,nan,1941899337,1941899337,64150710717,nan,64150710717,64150710717,33,0,0,0,0,0,0,0
ex0-run5,4.48169362942378,57977,4194304,4171318.7279407,223178.73041632,4.4,3213715.86229143,1995458.41380541,137473,28290969,14271570.7935484,15440887.3030053,186625,205201109,1805706600.125,69941316.0183423,1702152729,1900498132,8018838839.625,449800588.187266,7288568417,8439538888,4.4,4.6,4.4,4.1,4.3,4.6,4.6,4.5
ex0-run6,4.47386893431346,256301,8388602,8320455.3459144,592834.028749182,4.1,5201862.38187809,3051647.2248016,202473,34248536,21136972.229654,22440884.6304757,316028,301796071,1973456541.125,88876933.3844,1835166183,2066286213,8018838839.625,613806936.325769,7151677786,8934474232,4,4,4.1,4.1,3.9,4.2,4.3,3.8
ex0-run7,3.53250511884689,312987,6291433,5360186.39012366,1318050.01634956,14.9,3893464.72332731,2730752.0256654,203383,67678667,58002450.9195298,177535189.910653,1221536,3476220152,538271498,59275079.7601293,471063252,633729595,8018838839.625,1955659381.72025,5830618898,11288571167,21.3,13.5,12.4,13,11.9,15.2,16.3,15
ex0-run8,3.35018518368403,1764555,12582884,9456177.87691628,2926122.83562131,16.1,6876578.05163511,6180067.73271585,349347,121879956,110414304.160069,353368165.368981,4201291,4897485976,499411481,76216238.9508194,426360453,631024313,8018838839.625,3753594848.88818,4869637072,16153967789,17,8.7,11.3,14.5,12.1,19.1,28.3,15.9
ex0-run9,4.49793536663055,57977,4194304,4171318.7279407,223178.73041632,4.5,13884383.6947162,6036336.5731706,354882,40735252,62769775.6526419,38522588.0801958,4180224,268119859,1773730017,50788484.3598061,1663694954,1824536760,8018838839.625,337842632.264777,7532060116,8498280269,4.6,4.3,4.4,4.6,4.5,4.7,4.4,4.7
ex0-run10,4.4030312538147,256301,8388602,8320455.3459144,592834.028749182,4.1,15544778.0671343,8159433.19237586,429986,64745012,64279269.255511,47478733.9194845,3618914,352053550,1939211063.875,68066563.2363213,1836480602,2066614448,8018838839.625,532591369.418741,7335554226,8906084793,4,4.2,3.8,4.2,4.4,4.1,4,4.3
